first name,last name,Category,Sub-Category,Suber-catogory,,,
,"Deer, mule",animals,,,,,
,"Deer, red",animals,,,,,
,"Deer, roe",animals,,,,,
,"Deer, savannah",animals,,,,,
,"Deer, spotted",animals,,,,,
,"Deer, swamp",animals,,,,,
,"Deer, white-tailed",animals,,,,,
,Defassa waterbuck,animals,,,,,
,Denham's bustard,animals,,,,,
,Desert kangaroo rat,animals,,,,,
,Desert spiny lizard,animals,,,,,
,Desert tortoise,animals,,,,,
,"Devil, tasmanian",animals,,,,,
,"Dik, kirk's dik",animals,,,,,
,Dingo,animals,,,,,
,"Dog, african wild",animals,,,,,
,"Dog, black-tailed prairie",animals,,,,,
,"Dog, bush",animals,,,,,
,"Dog, raccoon",animals,,,,,
,"Dolphin, bottle-nose",animals,,,,,
,"Dolphin, common",animals,,,,,
,"Dolphin, striped",animals,,,,,
,"Dove, emerald-spotted wood",animals,,,,,
,"Dove, galapagos",animals,,,,,
,"Dove, laughing",animals,,,,,
,"Dove, little brown",animals,,,,,
,"Dove, mourning collared",animals,,,,,
,"Dove, ring",animals,,,,,
,"Dove, rock",animals,,,,,
,"Dove, white-winged",animals,,,,,
,Downy woodpecker,animals,,,,,
,"Dragon, asian water",animals,,,,,
,"Dragon, frilled",animals,,,,,
,"Dragon, komodo",animals,,,,,
,"Dragon, netted rock",animals,,,,,
,"Dragon, ornate rock",animals,,,,,
,"Dragon, western bearded",animals,,,,,
,"Dragonfly, russian",animals,,,,,
,Dromedary camel,animals,,,,,
,"Drongo, fork-tailed",animals,,,,,
,"Duck, blue",animals,,,,,
,"Duck, comb",animals,,,,,
,"Duck, mountain",animals,,,,,
,"Duck, white-faced whistling",animals,,,,,
,"Duiker, common",animals,,,,,
,"Duiker, gray",animals,,,,,
,"Dunnart, fat-tailed",animals,,,,,
,Dusky gull,animals,,,,,
,Dusky rattlesnake,animals,,,,,
,Eagle owl (unidentified),animals,,,,,
,"Eagle, african fish",animals,,,,,
,"Eagle, bald",animals,,,,,
,"Eagle, bateleur",animals,,,,,
